discourse_subtype,count
heading:1->29:3:grf-ly-,1
"background:2->14:2:sem-synym-4-8,108-109",1
"partial:3->2:0:sem-synym-4-8,10+grf-prn-9,11",1
unit_m:4->2:1:_,1
attribute:5->4:0:syn-mdf-19+syn-nmn-20,1
"evidence:6->2:2:grf-prn-28,30,32,34",1
"positive:7->8:1:sem-atsrc-40+lex-indwd-41+syn-rpr-42
",1
concession:8->14:1:_,1
concession:9->11:0:dm-despite-44,1
"attribute:10->9:0:syn-mdf-46+syn-nmn-47-48
",1
unit_m:11->8:0:_,1
"evidence:12->8:2:grf-prn-65,67,69,71",1
comment:13->8:3:lex-indwd-78;adversative-contrast:13->7:0:2:orp-however-73,1
"background:14->29:2:sem-rpt-108-109,212;joint-list:14->13:0:0:orp-also-92",1
"justify:15->14:0:dm-in fact-111-112
",1
"additional:16->15:0:sem-lxchn-115,117,119+grf-prn-116,120",1
"unit_m:17->15:1:_
",1
attribute:18->15:2:syn-mdf-125+syn-nmn-126,1
"unit_m:19->15:3:_
",1
"list_m:20->15:4:dm-and-133
",1
"evidence:21->15:5:grf-prn-139,141",1
evidence:22->15:6:_,1
additional:23->22:0:lex-indwd-153,1
"sequence_m:24->23:0:dm-and-162+dm-then-163
",1
"evidence:25->23:1:grf-prn-167,169,171,173",1
"list_m:26->23:2:_
",1
"sequence_m:27->26:0:dm-and-184+dm-then-185
",1
"evidence:28->26:1:grf-prn-188,190",1
"additional:30->29:0:sem-rpt-202-207,219-224+sem-rpt-206-207,223-224+ref-prs-212,241+grf-col-214",1
partial:31->30:0:_,1
"disjunction_m:32->31:0:sem-antnm-240,243+dm-or-242
",1
"evidence:33->31:1:grf-prn-246,248-249",1
disjunction_m:34->30:1:_,1
"disjunction_m:35->30:1:sem-antnm-232,264+dm-or-255
",1
"list_m:36->29:1:sem-mrnym-199-213,278-280+dm-additionally-273",1
heading:37->74:9:grf-ly-,1
"preparation:38->50:3:sem-synym-311-358,393-395+sem-lxchn-312,395+sem-lxchn-321,400+sem-rpt-323-324,408-410+sem-rpt-327,397+sem-rpt-330,418+sem-rpt-334,422+sem-rpt-338,426+sem-rpt-342,434",1
attribute:39->38:0:syn-mdf-312+syn-nmn-313,1
"goal:40->38:1:syn-inf-314
",1
attribute:41->40:0:syn-mdf-321+syn-nmn-325,1
"evidence:42->38:2:grf-prn-329,331,333,335,337,339,341,343",1
"additional:43->38:3:sem-rpt-311-329,329-330,330-331,331-332,332-333,333-334,334-335,335-336,336-337,337-338,338-339,339-340,340-341,341-342,342-343,343-358+syn-relcl-347
",1
"additional:44->43:0:grf-prn-355,357",1
unit_m:45->43:1:_,1
positive:46->47:1:lex-indwd-361+sem-atsrc-361+syn-rpr-362,1
"solutionhood:47->49:0:_
",1
attribute:48->47:0:syn-mdf-377+syn-nmn-378,1
"concession:49->38:4:_
",1
"background:50->74:8:sem-rpt-397,664+sem-rpt-400-410,651-655+sem-rpt-408-410,654-655+sem-rpt-418,669+sem-rpt-422,673+sem-rpt-426,677+sem-rpt-430,681",1
"evidence:51->50:0:grf-prn-417,419,421,423,425,427,429,431,433,435",1
"concession:52->50:1:sem-mrnym-414-416,446-459+sem-antnm-414,441+dm-though-437
",1
"attribute:53->52:0:syn-mdf-442+syn-nmn-443
",1
"evidence:54->52:1:grf-prn-450,452,454,456",1
"unit_m:55->52:2:_
",1
"evidence:56->55:0:grf-prn-460,462,464,466",1
"additional:57->50:2:sem-mrnym-393-395,474-475+sem-synym-397,469+sem-rpt-400-410,490-494+sem-rpt-408-410,493-494+sem-rpt-418,496+sem-rpt-422,500+sem-rpt-426,520+sem-rpt-430,508+sem-rpt-434,541+sem-mrnym-446-459,468-470+sem-rpt-461,504",1
"attribute:58->57:0:syn-mdf-485+syn-relcl-486,489
",1
"evidence:59->57:1:grf-prn-495,497,499,501,503,505,507,509",1
"unit_m:60->57:2:_
",1
"evidence:61->60:0:grf-prn-519,521",1
"contrast_m:62->57:3:lex-indwd-472;elaboration-additional:62->57:1:3:orp-with-523+sem-mrnym-474-475,525-527+sem-rpt-490-494,535-539+sem-rpt-493-494,538-539
",1
attribute:63->62:0:sem-lxchn-527-528,1
"evidence:64->62:1:grf-prn-540,542",1
"additional:65->50:4:sem-rpt-393-395,545-546+sem-rpt-400-410,548-552+sem-rpt-408-410,551-552+sem-rpt-418,558+sem-rpt-422,562+sem-rpt-426,579+sem-rpt-430,583+sem-rpt-434,570+sem-rpt-461,566",1
"evidence:66->65:0:grf-prn-557,559,561,563,565,567,569,571",1
"unit_m:67->65:1:_
",1
"evidence:68->67:0:grf-prn-578,580,582,584,586,588",1
"additional:69->65:2:sem-rpt-551-552,632-633+sem-synym-554-577,590-591+sem-rpt-570,624",1
"list_m:70->69:0:sem-lxchn-591,613+dm-and-608
",1
"concession:71->70:0:dm-though-616;elaboration-attribute:71->70:0:0:grf-prn-615,626+syn-mdf-614+syn-nmn-616,619",1
unit_m:72->70:1:_,1
"preparation:73->74:7:lex-indph-648-649+ref-prop-648-649,651-670",1
other_m:74->29:4:_,1
"partial:75->74:0:grf-prn-660,662",1
"unit_m:76->74:1:_
",1
"evidence:77->74:2:grf-prn-668,670,672,674,676,678,680,682",1
"additional:78->74:3:sem-rpt-654-655,697-698+sem-mrnym-661,684-685+sem-rpt-669,747+sem-rpt-673,726+sem-rpt-677,716+sem-rpt-681,709+lex-indwd-700",1
"evidence:79->78:0:grf-prn-708,710",1
"unit_m:80->78:1:_
",1
"evidence:81->80:0:grf-prn-715,717",1
unit_m:82->78:1:_,1
"evidence:83->82:0:grf-prn-725,727",1
"contrast_m:84->78:2:dm-though-729
",1
"evidence:85->84:0:grf-prn-746,748",1
"concession:86->88:3:dm-although-750+lex-indwd-752
",1
positive:87->88:1:sem-atsrc-761-762+lex-indwd-763+syn-rpr-764;joint-sequence:87->86:1:0:orp-then-766,1
"additional:88->74:4:sem-rpt-659-667,751+sem-rpt-669,778+sem-rpt-673,782
",1
"additional:89->88:0:dm-with-772+lex-indwd-774
",1
"evidence:90->88:2:grf-prn-777,779,781,783",1
"additional:91->74:5:sem-rpt-669,800+sem-rpt-673,804+sem-rpt-677,808+sem-rpt-681,812+grf-prn-789,792",1
disjunction_m:92->91:0:dm-or-790,1
"unit_m:93->91:1:_
",1
"evidence:94->91:2:grf-prn-799,801,803,805,807,809,811,813",1
"unit_m:95->91:3:_
",1
"evidence:96->95:0:grf-prn-820,822",1
"contrast_m:97->74:6:sem-mrnym-761-762,826-827;joint-list:97->74:0:5:orp-moreover-824",1
"evidence:98->97:0:grf-prn-849,851",1
"contrast_m:99->74:6:sem-mrnym-826-827,873-874;joint-list:99->74:1:5:orp-finally-853",1
"additional:100->99:0:grf-col-865
",1
"evidence:101->100:0:grf-prn-887,889",1
"list_m:102->100:1:ref-cmp-873-874,893-894
",1
"concession:103->102:0:dm-though-899+lex-indwd-900
",1
"evidence:104->102:1:grf-prn-911,913",1
concession:105->99:1:lex-indwd-919,1
"attribute:106->105:0:syn-mdf-922+syn-relcl-924,927
",1
"evidence:107->106:0:grf-prn-941,943",1
"unit_m:108->106:1:_
",1
attribute:109->108:0:syn-mdf-947+syn-nmn-948,1
"evidence:110->108:1:grf-prn-960,962",1
"heading:1->58:7:grf-ly-+sem-synym-1-2,478+sem-lxchn-1,503",1
"additional:2->1:0:sem-synym-1-2,9",1
positive:3->58:6:sem-atsrc-10-29,1
list_m:4->3:0:_,1
"background:5->10:2:sem-mrnym-40-44,86-88+sem-synym-77-79,101-102
",1
"goal:6->5:0:syn-inf-37
",1
manner:7->5:1:syn-pst_-51+lex-altlex-51-52,1
"goal:8->5:2:syn-inf-72
",1
"attribute:9->8:0:syn-mdf-74+syn-relcl-76,82",1
"background:10->28:0:_
",1
"goal:11->10:0:syn-inf-97
",1
"list_m:12->10:1:dm-and-103
",1
concession:13->12:0:lex-indwd-107,1
"unit_m:14->12:1:_
",1
"attribute:15->14:0:syn-mdf-111+syn-relcl-112,115
",1
"other_m:16->10:3:dm-also-144
",1
attribute:17->16:0:syn-mdf-132+syn-nmn-133,1
"partial:18->17:0:sem-synym-135-140,142+grf-prn-141,143",1
"unit_m:19->16:1:_
",1
"attribute:20->19:0:syn-mdf-147+syn-nmn-148,150
",1
"positive:21->24:2:sem-atsrc-160-165,172-179+lex-indwd-181+syn-rpr-182;causal-cause:21->28:4:0:orp-therefore-207",1
"partial:22->21:0:sem-synym-160-165,167-168+grf-prn-166,169",1
"unit_m:23->21:1:_
",1
"sequence_m:24->10:4:lex-indph-156-158+lex-indwd-180
",1
"attribute:25->24:0:syn-mdf-183+syn-relcl-187-188
",1
unit_m:26->24:1:_,1
"goal:27->26:0:syn-inf-197
",1
"background:28->34:2:sem-rpt-219,282",1
"goal:29->28:1:syn-inf-212
",1
sequence_m:30->28:2:dm-later-227,1
comment:31->28:3:lex-indwd-240,1
"attribute:32->31:0:syn-mdf-241+syn-inf-242
",1
"list_m:33->32:0:dm-not only but also-247-248,254-255+sem-lxchn-252,264
",1
"background:34->58:5:sem-rpt-282,478;restatement-repetition:34->31:1:1:orp-in essence-266-267+ref-prs-235,269+sem-lxchn-240,299+sem-lxchn-259,276+sem-rpt-263,297
",1
"goal:35->34:0:dm-in order-283-284+syn-inf-287
",1
"attribute:36->35:0:syn-mdf-292+syn-nmn-293-294
",1
"list_m:37->35:1:dm-and-298
",1
attribute:38->37:0:syn-mdf-303+syn-nmn-304,1
"additional:39->34:1:sem-rpt-282,324",1
attribute:40->39:0:syn-mdf-329+syn-nmn-333,1
goal:41->39:1:_,1
"attribute:42->41:0:syn-mdf-363+syn-relcl-368,371
",1
"unit_m:43->41:1:_
",1
concession:44->45:0:lex-indwd-379,1
"unit_m:45->43:0:_
",1
antithesis:46->47:2:dm-but-402,1
"additional:47->34:3:ref-prs-269,388+sem-rpt-282,417+sem-rpt-306-307,417-418
",1
"manner:48->47:0:_
",1
circumstance:49->48:0:syn-pres-414,1
"list_m:50->47:1:_
",1
"list_m:51->47:1:syn-prl-420-424,426-428
",1
"list_m:52->47:1:dm-and-429
",1
"attribute:53->52:0:syn-mdf-434+syn-nmn-435-436
",1
"means:54->52:1:dm-by-440+syn-pres-441
",1
"goal:55->56:1:dm-in order-447-448+syn-inf-449
",1
preparation:56->58:3:num-count-456+grf-col-471,1
evidence:57->56:0:_,1
"additional:59->58:0:grf-prn-481,507+lex-indwd-482",1
"list_m:60->59:0:grf-semcol-490,494",1
"list_m:61->59:0:dm-also-495+grf-semcol-508
",1
list_m:62->58:1:grf-seq-+grf-semcol-556,1
means:63->62:0:syn-pst_-513+lex-altlex-513-514,1
attribute:64->63:0:syn-mdf-522+syn-nmn-523,1
"additional:65->64:0:grf-prn-526,548+lex-indwd-527",1
"unit_m:66->63:1:_
",1
"list_m:67->58:1:grf-seq-+syn-prl-509-525,549-555,557-574+grf-semcol-575
",1
manner:68->67:0:syn-pst_-565+lex-altlex-565-566,1
positive:69->70:0:sem-atsrc-571+lex-indwd-572,1
additional:70->68:0:_,1
"list_m:71->58:1:grf-seq-+syn-prl-557-563,565-574,576-582,584-593
",1
manner:72->71:0:syn-pst_-584+lex-altlex-584-585,1
"manner:73->74:2:dm-with-595
",1
"additional:74->58:2:grf-prn-617,623",1
manner:75->74:0:syn-pst_-608+lex-altlex-608-609,1
background:76->75:0:_,1
"positive:77->78:0:sem-atsrc-600,603-606+lex-indwd-626+lex-indwd-627+syn-rpr-628
",1
"goal:78->74:1:syn-inf-625
",1
other_m:79->58:4:_,1
additional:80->79:0:_,1
"attribute:81->80:0:syn-mdf-665+syn-relcl-669-670
",1
attribute:82->81:0:syn-mdf-673+syn-nmn-674,1
sequence_m:83->80:1:_,1
attribute:84->83:0:syn-mdf-687+syn-nmn-691,1
"means:85->86:1:dm-by-701+syn-pres-702
",1
"additional:86->80:2:sem-synym-662-674,705-707+sem-rpt-667,703",1
"list_m:87->86:0:dm-and-726
",1
"other_m:88->58:4:_
",1
result:89->88:0:syn-pres-755,1
other_m:90->58:4:_,1
"list_m:91->90:0:sem-lxchn-770,781+dm-and-780
",1
attribute:92->91:0:syn-mdf-783+syn-nmn-784,1
other_m:93->58:4:_,1
"attribute:94->93:0:syn-mdf-803+syn-nmn-804-805
",1
