discourse_type,"additional:100->99:0:grf-col-865
","additional:16->15:0:sem-lxchn-115,117,119+grf-prn-116,120","additional:2->1:0:sem-synym-1-2,9",additional:23->22:0:lex-indwd-153,"additional:30->29:0:sem-rpt-202-207,219-224+sem-rpt-206-207,223-224+ref-prs-212,241+grf-col-214","additional:39->34:1:sem-rpt-282,324","additional:43->38:3:sem-rpt-311-329,329-330,330-331,331-332,332-333,333-334,334-335,335-336,336-337,337-338,338-339,339-340,340-341,341-342,342-343,343-358+syn-relcl-347
","additional:44->43:0:grf-prn-355,357","additional:47->34:3:ref-prs-269,388+sem-rpt-282,417+sem-rpt-306-307,417-418
","additional:57->50:2:sem-mrnym-393-395,474-475+sem-synym-397,469+sem-rpt-400-410,490-494+sem-rpt-408-410,493-494+sem-rpt-418,496+sem-rpt-422,500+sem-rpt-426,520+sem-rpt-430,508+sem-rpt-434,541+sem-mrnym-446-459,468-470+sem-rpt-461,504","additional:59->58:0:grf-prn-481,507+lex-indwd-482","additional:65->50:4:sem-rpt-393-395,545-546+sem-rpt-400-410,548-552+sem-rpt-408-410,551-552+sem-rpt-418,558+sem-rpt-422,562+sem-rpt-426,579+sem-rpt-430,583+sem-rpt-434,570+sem-rpt-461,566","additional:65->64:0:grf-prn-526,548+lex-indwd-527","additional:69->65:2:sem-rpt-551-552,632-633+sem-synym-554-577,590-591+sem-rpt-570,624",additional:70->68:0:_,"additional:74->58:2:grf-prn-617,623","additional:78->74:3:sem-rpt-654-655,697-698+sem-mrnym-661,684-685+sem-rpt-669,747+sem-rpt-673,726+sem-rpt-677,716+sem-rpt-681,709+lex-indwd-700",additional:80->79:0:_,"additional:86->80:2:sem-synym-662-674,705-707+sem-rpt-667,703","additional:88->74:4:sem-rpt-659-667,751+sem-rpt-669,778+sem-rpt-673,782
","additional:89->88:0:dm-with-772+lex-indwd-774
","additional:91->74:5:sem-rpt-669,800+sem-rpt-673,804+sem-rpt-677,808+sem-rpt-681,812+grf-prn-789,792",antithesis:46->47:2:dm-but-402,"attribute:10->9:0:syn-mdf-46+syn-nmn-47-48
","attribute:106->105:0:syn-mdf-922+syn-relcl-924,927
",attribute:109->108:0:syn-mdf-947+syn-nmn-948,"attribute:15->14:0:syn-mdf-111+syn-relcl-112,115
",attribute:17->16:0:syn-mdf-132+syn-nmn-133,attribute:18->15:2:syn-mdf-125+syn-nmn-126,"attribute:20->19:0:syn-mdf-147+syn-nmn-148,150
","attribute:25->24:0:syn-mdf-183+syn-relcl-187-188
","attribute:32->31:0:syn-mdf-241+syn-inf-242
","attribute:36->35:0:syn-mdf-292+syn-nmn-293-294
",attribute:38->37:0:syn-mdf-303+syn-nmn-304,attribute:39->38:0:syn-mdf-312+syn-nmn-313,attribute:40->39:0:syn-mdf-329+syn-nmn-333,attribute:41->40:0:syn-mdf-321+syn-nmn-325,"attribute:42->41:0:syn-mdf-363+syn-relcl-368,371
",attribute:48->47:0:syn-mdf-377+syn-nmn-378,attribute:5->4:0:syn-mdf-19+syn-nmn-20,"attribute:53->52:0:syn-mdf-434+syn-nmn-435-436
","attribute:53->52:0:syn-mdf-442+syn-nmn-443
","attribute:58->57:0:syn-mdf-485+syn-relcl-486,489
",attribute:63->62:0:sem-lxchn-527-528,attribute:64->63:0:syn-mdf-522+syn-nmn-523,"attribute:81->80:0:syn-mdf-665+syn-relcl-669-670
",attribute:82->81:0:syn-mdf-673+syn-nmn-674,attribute:84->83:0:syn-mdf-687+syn-nmn-691,"attribute:9->8:0:syn-mdf-74+syn-relcl-76,82",attribute:92->91:0:syn-mdf-783+syn-nmn-784,"attribute:94->93:0:syn-mdf-803+syn-nmn-804-805
","background:10->28:0:_
","background:14->29:2:sem-rpt-108-109,212;joint-list:14->13:0:0:orp-also-92","background:2->14:2:sem-synym-4-8,108-109","background:28->34:2:sem-rpt-219,282","background:34->58:5:sem-rpt-282,478;restatement-repetition:34->31:1:1:orp-in essence-266-267+ref-prs-235,269+sem-lxchn-240,299+sem-lxchn-259,276+sem-rpt-263,297
","background:5->10:2:sem-mrnym-40-44,86-88+sem-synym-77-79,101-102
","background:50->74:8:sem-rpt-397,664+sem-rpt-400-410,651-655+sem-rpt-408-410,654-655+sem-rpt-418,669+sem-rpt-422,673+sem-rpt-426,677+sem-rpt-430,681",background:76->75:0:_,circumstance:49->48:0:syn-pres-414,comment:13->8:3:lex-indwd-78;adversative-contrast:13->7:0:2:orp-however-73,comment:31->28:3:lex-indwd-240,"concession:103->102:0:dm-though-899+lex-indwd-900
",concession:105->99:1:lex-indwd-919,concession:13->12:0:lex-indwd-107,concession:44->45:0:lex-indwd-379,"concession:49->38:4:_
","concession:52->50:1:sem-mrnym-414-416,446-459+sem-antnm-414,441+dm-though-437
","concession:71->70:0:dm-though-616;elaboration-attribute:71->70:0:0:grf-prn-615,626+syn-mdf-614+syn-nmn-616,619",concession:8->14:1:_,"concession:86->88:3:dm-although-750+lex-indwd-752
",concession:9->11:0:dm-despite-44,"contrast_m:62->57:3:lex-indwd-472;elaboration-additional:62->57:1:3:orp-with-523+sem-mrnym-474-475,525-527+sem-rpt-490-494,535-539+sem-rpt-493-494,538-539
","contrast_m:84->78:2:dm-though-729
","contrast_m:97->74:6:sem-mrnym-761-762,826-827;joint-list:97->74:0:5:orp-moreover-824","contrast_m:99->74:6:sem-mrnym-826-827,873-874;joint-list:99->74:1:5:orp-finally-853","disjunction_m:32->31:0:sem-antnm-240,243+dm-or-242
",disjunction_m:34->30:1:_,"disjunction_m:35->30:1:sem-antnm-232,264+dm-or-255
",disjunction_m:92->91:0:dm-or-790,"evidence:101->100:0:grf-prn-887,889","evidence:104->102:1:grf-prn-911,913","evidence:107->106:0:grf-prn-941,943","evidence:110->108:1:grf-prn-960,962","evidence:12->8:2:grf-prn-65,67,69,71","evidence:21->15:5:grf-prn-139,141",evidence:22->15:6:_,"evidence:25->23:1:grf-prn-167,169,171,173","evidence:28->26:1:grf-prn-188,190","evidence:33->31:1:grf-prn-246,248-249","evidence:42->38:2:grf-prn-329,331,333,335,337,339,341,343","evidence:51->50:0:grf-prn-417,419,421,423,425,427,429,431,433,435","evidence:54->52:1:grf-prn-450,452,454,456","evidence:56->55:0:grf-prn-460,462,464,466",evidence:57->56:0:_,"evidence:59->57:1:grf-prn-495,497,499,501,503,505,507,509","evidence:6->2:2:grf-prn-28,30,32,34","evidence:61->60:0:grf-prn-519,521","evidence:64->62:1:grf-prn-540,542","evidence:66->65:0:grf-prn-557,559,561,563,565,567,569,571","evidence:68->67:0:grf-prn-578,580,582,584,586,588","evidence:77->74:2:grf-prn-668,670,672,674,676,678,680,682","evidence:79->78:0:grf-prn-708,710","evidence:81->80:0:grf-prn-715,717","evidence:83->82:0:grf-prn-725,727","evidence:85->84:0:grf-prn-746,748","evidence:90->88:2:grf-prn-777,779,781,783","evidence:94->91:2:grf-prn-799,801,803,805,807,809,811,813","evidence:96->95:0:grf-prn-820,822","evidence:98->97:0:grf-prn-849,851","goal:11->10:0:syn-inf-97
","goal:27->26:0:syn-inf-197
","goal:29->28:1:syn-inf-212
","goal:35->34:0:dm-in order-283-284+syn-inf-287
","goal:40->38:1:syn-inf-314
",goal:41->39:1:_,"goal:55->56:1:dm-in order-447-448+syn-inf-449
","goal:6->5:0:syn-inf-37
","goal:78->74:1:syn-inf-625
","goal:8->5:2:syn-inf-72
",heading:1->29:3:grf-ly-,"heading:1->58:7:grf-ly-+sem-synym-1-2,478+sem-lxchn-1,503",heading:37->74:9:grf-ly-,"justify:15->14:0:dm-in fact-111-112
","list_m:102->100:1:ref-cmp-873-874,893-894
","list_m:12->10:1:dm-and-103
","list_m:20->15:4:dm-and-133
","list_m:26->23:2:_
","list_m:33->32:0:dm-not only but also-247-248,254-255+sem-lxchn-252,264
","list_m:36->29:1:sem-mrnym-199-213,278-280+dm-additionally-273","list_m:37->35:1:dm-and-298
",list_m:4->3:0:_,"list_m:50->47:1:_
","list_m:51->47:1:syn-prl-420-424,426-428
","list_m:52->47:1:dm-and-429
","list_m:60->59:0:grf-semcol-490,494","list_m:61->59:0:dm-also-495+grf-semcol-508
",list_m:62->58:1:grf-seq-+grf-semcol-556,"list_m:67->58:1:grf-seq-+syn-prl-509-525,549-555,557-574+grf-semcol-575
","list_m:70->69:0:sem-lxchn-591,613+dm-and-608
","list_m:71->58:1:grf-seq-+syn-prl-557-563,565-574,576-582,584-593
","list_m:87->86:0:dm-and-726
","list_m:91->90:0:sem-lxchn-770,781+dm-and-780
","manner:48->47:0:_
",manner:68->67:0:syn-pst_-565+lex-altlex-565-566,manner:7->5:1:syn-pst_-51+lex-altlex-51-52,manner:72->71:0:syn-pst_-584+lex-altlex-584-585,"manner:73->74:2:dm-with-595
",manner:75->74:0:syn-pst_-608+lex-altlex-608-609,"means:54->52:1:dm-by-440+syn-pres-441
",means:63->62:0:syn-pst_-513+lex-altlex-513-514,"means:85->86:1:dm-by-701+syn-pres-702
","other_m:16->10:3:dm-also-144
",other_m:74->29:4:_,other_m:79->58:4:_,"other_m:88->58:4:_
",other_m:90->58:4:_,other_m:93->58:4:_,"partial:18->17:0:sem-synym-135-140,142+grf-prn-141,143","partial:22->21:0:sem-synym-160-165,167-168+grf-prn-166,169","partial:3->2:0:sem-synym-4-8,10+grf-prn-9,11",partial:31->30:0:_,"partial:75->74:0:grf-prn-660,662","positive:21->24:2:sem-atsrc-160-165,172-179+lex-indwd-181+syn-rpr-182;causal-cause:21->28:4:0:orp-therefore-207",positive:3->58:6:sem-atsrc-10-29,positive:46->47:1:lex-indwd-361+sem-atsrc-361+syn-rpr-362,positive:69->70:0:sem-atsrc-571+lex-indwd-572,"positive:7->8:1:sem-atsrc-40+lex-indwd-41+syn-rpr-42
","positive:77->78:0:sem-atsrc-600,603-606+lex-indwd-626+lex-indwd-627+syn-rpr-628
",positive:87->88:1:sem-atsrc-761-762+lex-indwd-763+syn-rpr-764;joint-sequence:87->86:1:0:orp-then-766,"preparation:38->50:3:sem-synym-311-358,393-395+sem-lxchn-312,395+sem-lxchn-321,400+sem-rpt-323-324,408-410+sem-rpt-327,397+sem-rpt-330,418+sem-rpt-334,422+sem-rpt-338,426+sem-rpt-342,434",preparation:56->58:3:num-count-456+grf-col-471,"preparation:73->74:7:lex-indph-648-649+ref-prop-648-649,651-670",result:89->88:0:syn-pres-755,"sequence_m:24->10:4:lex-indph-156-158+lex-indwd-180
","sequence_m:24->23:0:dm-and-162+dm-then-163
","sequence_m:27->26:0:dm-and-184+dm-then-185
",sequence_m:30->28:2:dm-later-227,sequence_m:83->80:1:_,"solutionhood:47->49:0:_
","unit_m:108->106:1:_
",unit_m:11->8:0:_,"unit_m:14->12:1:_
","unit_m:17->15:1:_
","unit_m:19->15:3:_
","unit_m:19->16:1:_
","unit_m:23->21:1:_
",unit_m:26->24:1:_,unit_m:4->2:1:_,"unit_m:43->41:1:_
","unit_m:45->43:0:_
",unit_m:45->43:1:_,"unit_m:55->52:2:_
","unit_m:60->57:2:_
","unit_m:66->63:1:_
","unit_m:67->65:1:_
",unit_m:72->70:1:_,"unit_m:76->74:1:_
","unit_m:80->78:1:_
",unit_m:82->78:1:_,"unit_m:93->91:1:_
","unit_m:95->91:3:_
"
adversative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
attribution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
causal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
context,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elaboration,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evaluation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
explanation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
joint,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mode,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
organization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
purpose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
restatement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
same,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
topic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
